 itr,            f,   df_abs[%],   df_rel[%],        c1: =,       c1_ref,      len_C1,  adj_len_C1,        c2: =,       c2_ref,      len_C2,  adj_len_C2,        c3: =,       c3_ref,      len_C3,  adj_len_C3,     bi_itrs,      bi_err, test_norm_dX_bar,     norm_dX, step_length,               time_stamp
  29,  8.18955E-01,  3.49950E+01, -3.55112E-01,  8.82656E-02,  8.82659E-02,   -0.000401,   -0.000401,  1.00001E+00,  9.99971E-01,    0.051677,    0.051677,  2.04012E+00,  2.03955E+00,    0.414986,    0.414986,           0,   -0.012540,         0.987460,    0.000316, 3.43597E-04, Mon Jul  1 13:50:15 2024
  30,  8.19472E-01,  3.50802E+01,  8.51857E-02,  8.82660E-02,  8.82659E-02,    0.000119,    0.000119,  9.99998E-01,  9.99971E-01,    0.039487,    0.039487,  2.04009E+00,  2.03955E+00,    0.394059,    0.394059,           0,   -0.037714,         0.962286,    0.000321, 3.43597E-04, Mon Jul  1 13:50:21 2024
  31,  8.20217E-01,  3.52031E+01,  1.22861E-01,  8.82660E-02,  8.82659E-02,    0.000184,    0.000184,  9.99997E-01,  9.99971E-01,    0.046708,    0.046708,  2.04008E+00,  2.03955E+00,    0.484074,    0.416406,           6,    0.004701,         1.187210,    0.000276, 2.74878E-04, Mon Jul  1 13:50:26 2024
  32,  8.18473E-01,  3.49156E+01, -2.87469E-01,  8.82656E-02,  8.82659E-02,   -0.000531,   -0.000531,  1.00000E+00,  9.99971E-01,    0.065401,    0.065401,  2.04002E+00,  2.03955E+00,    0.544250,    0.431641,           7,    0.002553,         1.300901,    0.000219, 2.19902E-04, Mon Jul  1 13:50:31 2024
  33,  8.17094E-01,  3.46883E+01, -2.27295E-01,  8.82657E-02,  8.82659E-02,   -0.000455,   -0.000455,  9.99994E-01,  9.99971E-01,    0.051941,    0.051941,  2.03997E+00,  2.03955E+00,    0.477773,    0.421484,           7,    0.003511,         1.155092,    0.000221, 2.19902E-04, Mon Jul  1 13:50:36 2024
  34,  8.15716E-01,  3.44612E+01, -2.27123E-01,  8.82657E-02,  8.82659E-02,   -0.000480,   -0.000480,  9.99994E-01,  9.99971E-01,    0.052265,    0.052265,  2.03992E+00,  2.03955E+00,    0.424737,    0.424737,           0,   -0.015174,         1.010723,    0.000217, 2.19902E-04, Mon Jul  1 13:50:42 2024
  35,  8.14558E-01,  3.42702E+01, -1.91000E-01,  8.82657E-02,  8.82659E-02,   -0.000450,   -0.000450,  9.99994E-01,  9.99971E-01,    0.051063,    0.051063,  2.03988E+00,  2.03955E+00,    0.375864,    0.375864,           0,   -0.017669,         0.881713,    0.000216, 2.19902E-04, Mon Jul  1 13:50:47 2024
  36,  8.15472E-01,  3.44210E+01,  1.50755E-01,  8.82659E-02,  8.82659E-02,    0.000088,    0.000088,  9.99985E-01,  9.99971E-01,    0.030887,    0.030887,  2.03987E+00,  2.03955E+00,    0.364029,    0.364029,           0,   -0.028177,         0.901420,    0.000214, 2.19902E-04, Mon Jul  1 13:50:52 2024
  37,  8.16285E-01,  3.45549E+01,  1.33943E-01,  8.82659E-02,  8.82659E-02,    0.000068,    0.000068,  9.99985E-01,  9.99971E-01,    0.040560,    0.040560,  2.03987E+00,  2.03955E+00,    0.463044,    0.406250,           3,    0.008941,         1.143961,    0.000174, 1.75922E-04, Mon Jul  1 13:50:57 2024
  38,  8.15199E-01,  3.43759E+01, -1.79012E-01,  8.82657E-02,  8.82659E-02,   -0.000613,   -0.000613,  9.99989E-01,  9.99971E-01,    0.064457,    0.064457,  2.03984E+00,  2.03955E+00,    0.526624,    0.431641,           7,    0.001677,         1.253897,    0.000141, 1.40737E-04, Mon Jul  1 13:51:03 2024
