 itr,            f,   df_abs[%],   df_rel[%],        c1: =,       c1_ref,      len_C1,  adj_len_C1,        c2: =,       c2_ref,      len_C2,  adj_len_C2,        c3: =,       c3_ref,      len_C3,  adj_len_C3,     bi_itrs,      bi_err, test_norm_dX_bar,     norm_dX, step_length,               time_stamp
  36,  1.26834E+00,  5.62491E+01,  3.62669E-01,  8.83006E-02,  8.82659E-02,    0.022540,    0.022540,  1.00002E+00,  9.99971E-01,    0.033161,    0.033161,  2.04086E+00,  2.03955E+00,    0.419996,    0.419996,           0,    0.004356,         0.995644,    0.000887, 8.38861E-04, Thu Jun  6 14:00:36 2024
  37,  1.27220E+00,  5.67246E+01,  4.75521E-01,  8.83016E-02,  8.82659E-02,    0.023221,    0.023221,  1.00002E+00,  9.99971E-01,    0.032428,    0.032428,  2.04091E+00,  2.03955E+00,    0.433921,    0.433921,           0,   -0.097373,         1.032820,    0.000757, 8.38861E-04, Thu Jun  6 14:00:53 2024
  38,  1.26991E+00,  5.64433E+01, -2.81323E-01,  8.83010E-02,  8.82659E-02,    0.022819,    0.022819,  1.00004E+00,  9.99971E-01,    0.042628,    0.042628,  2.04085E+00,  2.03955E+00,    0.414182,    0.414182,           3,    0.004966,         0.957201,    0.000835, 8.38861E-04, Thu Jun  6 14:01:03 2024
  39,  1.27316E+00,  5.68427E+01,  3.99447E-01,  8.83001E-02,  8.82659E-02,    0.027783,    0.027783,  1.00002E+00,  9.99971E-01,    0.039624,    0.039624,  2.04085E+00,  2.03955E+00,    0.518397,    0.426563,           5,    0.004226,         1.230537,    0.000668, 6.71089E-04, Thu Jun  6 14:01:12 2024
  40,  1.26500E+00,  5.58383E+01, -1.00444E+00,  8.82911E-02,  8.82659E-02,    0.025575,    0.025575,  1.00004E+00,  9.99971E-01,    0.065566,    0.065566,  2.04066E+00,  2.03955E+00,    0.557574,    0.451953,           7,    0.002266,         1.267472,    0.000536, 5.36871E-04, Thu Jun  6 14:01:22 2024
  41,  1.25861E+00,  5.50500E+01, -7.88271E-01,  8.82859E-02,  8.82659E-02,    0.020372,    0.020372,  1.00002E+00,  9.99971E-01,    0.052524,    0.052524,  2.04047E+00,  2.03955E+00,    0.461863,    0.461863,           0,   -0.076304,         1.053235,    0.000496, 5.36871E-04, Thu Jun  6 14:01:32 2024
  42,  1.25702E+00,  5.48544E+01, -1.95581E-01,  8.82885E-02,  8.82659E-02,    0.022928,    0.022928,  1.00001E+00,  9.99971E-01,    0.043876,    0.043876,  2.04039E+00,  2.03955E+00,    0.422060,    0.422060,           3,    0.008825,         0.971796,    0.000532, 5.36871E-04, Thu Jun  6 14:01:42 2024
  43,  1.25892E+00,  5.50885E+01,  2.34074E-01,  8.82877E-02,  8.82659E-02,    0.022146,    0.022146,  1.00000E+00,  9.99971E-01,    0.032578,    0.032578,  2.04039E+00,  2.03955E+00,    0.419744,    0.419744,           0,    0.007316,         0.992684,    0.000568, 5.36871E-04, Thu Jun  6 14:01:48 2024
  44,  1.26142E+00,  5.53968E+01,  3.08319E-01,  8.82883E-02,  8.82659E-02,    0.022816,    0.022816,  1.00000E+00,  9.99971E-01,    0.031979,    0.031979,  2.04042E+00,  2.03955E+00,    0.434058,    0.434058,           0,   -0.099790,         1.030430,    0.000483, 5.36871E-04, Thu Jun  6 14:01:54 2024
  45,  1.26001E+00,  5.52231E+01, -1.73739E-01,  8.82881E-02,  8.82659E-02,    0.022575,    0.022575,  1.00001E+00,  9.99971E-01,    0.042425,    0.042425,  2.04038E+00,  2.03955E+00,    0.415259,    0.415259,           3,    0.004815,         0.957194,    0.000534, 5.36871E-04, Thu Jun  6 14:02:02 2024
  46,  1.26208E+00,  5.54786E+01,  2.55559E-01,  8.82874E-02,  8.82659E-02,    0.027367,    0.027367,  1.00000E+00,  9.99971E-01,    0.039373,    0.039373,  2.04038E+00,  2.03955E+00,    0.519524,    0.426563,           5,    0.006881,         1.230005,    0.000427, 4.29497E-04, Thu Jun  6 14:02:08 2024
  47,  1.25701E+00,  5.48539E+01, -6.24709E-01,  8.82820E-02,  8.82659E-02,    0.025566,    0.025566,  1.00001E+00,  9.99971E-01,    0.065324,    0.065324,  2.04027E+00,  2.03955E+00,    0.562331,    0.457031,           6,    0.008300,         1.276445,    0.000346, 3.43597E-04, Thu Jun  6 14:02:16 2024
  48,  1.25294E+00,  5.43525E+01, -5.01426E-01,  8.82789E-02,  8.82659E-02,    0.020680,    0.020680,  1.00000E+00,  9.99971E-01,    0.053041,    0.053041,  2.04015E+00,  2.03955E+00,    0.468243,    0.468243,           0,   -0.062893,         1.065457,    0.000322, 3.43597E-04, Thu Jun  6 14:02:27 2024
  49,  1.25183E+00,  5.42158E+01, -1.36699E-01,  8.82804E-02,  8.82659E-02,    0.023067,    0.023067,  9.99999E-01,  9.99971E-01,    0.044651,    0.044651,  2.04009E+00,  2.03955E+00,    0.427171,    0.427171,           6,    0.000250,         0.980548,    0.000344, 3.43597E-04, Thu Jun  6 14:02:34 2024
  50,  1.25306E+00,  5.43665E+01,  1.50706E-01,  8.82798E-02,  8.82659E-02,    0.022125,    0.022125,  9.99992E-01,  9.99971E-01,    0.032739,    0.032739,  2.04009E+00,  2.03955E+00,    0.424225,    0.424225,           0,   -0.129577,         1.001298,    0.000299, 3.43597E-04, Thu Jun  6 14:02:40 2024
  51,  1.25240E+00,  5.42851E+01, -8.14245E-02,  8.82796E-02,  8.82659E-02,    0.027306,    0.027306,  9.99997E-01,  9.99971E-01,    0.050587,    0.050587,  2.04007E+00,  2.03955E+00,    0.509403,    0.436719,           6,    0.009627,         1.175236,    0.000272, 2.74878E-04, Thu Jun  6 14:02:46 2024
  52,  1.24921E+00,  5.38932E+01, -3.91905E-01,  8.82761E-02,  8.82659E-02,    0.020297,    0.020297,  9.99998E-01,  9.99971E-01,    0.052077,    0.052077,  2.03999E+00,  2.03955E+00,    0.431072,    0.431072,           3,    0.006310,         0.972057,    0.000273, 2.74878E-04, Thu Jun  6 14:02:56 2024
  53,  1.25021E+00,  5.40160E+01,  1.22818E-01,  8.82769E-02,  8.82659E-02,    0.021852,    0.021852,  9.99988E-01,  9.99971E-01,    0.032368,    0.032368,  2.03998E+00,  2.03955E+00,    0.420748,    0.420748,           0,    0.007447,         0.992553,    0.000291, 2.74878E-04, Thu Jun  6 14:03:03 2024
  54,  1.25150E+00,  5.41741E+01,  1.58147E-01,  8.82772E-02,  8.82659E-02,    0.022456,    0.022456,  9.99987E-01,  9.99971E-01,    0.031786,    0.031786,  2.03999E+00,  2.03955E+00,    0.434853,    0.434853,           0,   -0.100201,         1.029750,    0.000247, 2.74878E-04, Thu Jun  6 14:03:10 2024
  55,  1.25078E+00,  5.40861E+01, -8.79917E-02,  8.82771E-02,  8.82659E-02,    0.022352,    0.022352,  9.99993E-01,  9.99971E-01,    0.042396,    0.042396,  2.03997E+00,  2.03955E+00,    0.416630,    0.416630,           3,    0.004894,         0.958006,    0.000274, 2.74878E-04, Thu Jun  6 14:03:20 2024
  56,  1.25184E+00,  5.42166E+01,  1.30488E-01,  8.82767E-02,  8.82659E-02,    0.026983,    0.026983,  9.99987E-01,  9.99971E-01,    0.039281,    0.039281,  2.03997E+00,  2.03955E+00,    0.520787,    0.426563,           5,    0.009432,         1.230017,    0.000218, 2.19902E-04, Thu Jun  6 14:03:31 2024
  57,  1.24930E+00,  5.39038E+01, -3.12842E-01,  8.82741E-02,  8.82659E-02,    0.025486,    0.025486,  9.99992E-01,  9.99971E-01,    0.065106,    0.065106,  2.03992E+00,  2.03955E+00,    0.566848,    0.457031,           6,    0.006312,         1.285284,    0.000177, 1.75922E-04, Thu Jun  6 14:03:42 2024
  58,  1.24725E+00,  5.36512E+01, -2.52559E-01,  8.82725E-02,  8.82659E-02,    0.020668,    0.020668,  9.99988E-01,  9.99971E-01,    0.052904,    0.052904,  2.03986E+00,  2.03955E+00,    0.474700,    0.474700,           0,   -0.046559,         1.079859,    0.000168, 1.75922E-04, Thu Jun  6 14:03:50 2024
  59,  1.24662E+00,  5.35740E+01, -7.72508E-02,  8.82734E-02,  8.82659E-02,    0.023224,    0.023224,  9.99986E-01,  9.99971E-01,    0.045632,    0.045632,  2.03983E+00,  2.03955E+00,    0.432774,    0.432774,           0,    0.009551,         0.990449,    0.000189, 1.75922E-04, Thu Jun  6 14:04:00 2024
  60,  1.24748E+00,  5.36790E+01,  1.04980E-01,  8.82731E-02,  8.82659E-02,    0.022292,    0.022292,  9.99981E-01,  9.99971E-01,    0.031374,    0.031374,  2.03983E+00,  2.03955E+00,    0.434853,    0.434853,           0,   -0.100190,         1.029554,    0.000158, 1.75922E-04, Thu Jun  6 14:04:44 2024
  61,  1.24702E+00,  5.36227E+01, -5.62474E-02,  8.82730E-02,  8.82659E-02,    0.027817,    0.027817,  9.99985E-01,  9.99971E-01,    0.053008,    0.053008,  2.03982E+00,  2.03955E+00,    0.521447,    0.446875,           4,    0.008541,         1.197858,    0.000142, 1.40737E-04, Thu Jun  6 14:05:16 2024
